Data_Type,Cell_Type,Experimental_Factors,Treatment,Lab,PI,Assembly,Status,GEO_Accession,DCC_Accession,Date_Unrestricted
CAGE,A549,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979632,wgEncodeEH002736,12/30/2012
CAGE,A549,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979633,wgEncodeEH002737,12/30/2012
CAGE,AG04450,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849358,wgEncodeEH001159,10/21/2011
CAGE,BJ,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849328,wgEncodeEH001160,10/21/2011
CAGE,CD20+,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979634,wgEncodeEH002738,12/28/2012
CAGE,CD34+_Mobilized,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979635,wgEncodeEH002739,12/30/2012
CAGE,GM12878,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001680,1/29/2012
CAGE,GM12878,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849349,wgEncodeEH001679,11/10/2012
CAGE,GM12878,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,12/9/2009
CAGE,GM12878,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM849329,wgEncodeEH000338,12/9/2009
CAGE,GM12878,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849329,wgEncodeEH000338,11/10/2012
CAGE,GM12878,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,GM12878,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,GSM849352,wgEncodeEH000340,4/12/2012
CAGE,GM12878,Localization=nucleolus RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849352,wgEncodeEH000340,11/10/2012
CAGE,GM12878,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849348,wgEncodeEH001678,11/10/2012
CAGE,GM12878,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,12/9/2009
CAGE,GM12878,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000339,6/21/2011
CAGE,GM12878,Localization=nucleus RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849341,wgEncodeEH000339,11/10/2012
CAGE,H1-hESC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849357,wgEncodeEH001138,6/21/2011
CAGE,H1-hESC,Localization=cell RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,H1-hESC,Localization=cell RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM849355,wgEncodeEH000341,10/13/2010
CAGE,H1-hESC,Localization=cell RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849355,wgEncodeEH000341,11/10/2012
CAGE,H1-hESC,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849356,wgEncodeEH001139,6/21/2011
CAGE,H1-hESC,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001140,6/21/2011
CAGE,HAoAF,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979637,wgEncodeEH002740,12/28/2012
CAGE,HAoEC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH002741,12/30/2012
CAGE,HCH,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH002742,12/30/2012
CAGE,HFDPC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979638,wgEncodeEH002743,12/30/2012
CAGE,HMEpC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979641,wgEncodeEH002744,12/30/2012
CAGE,HOB,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979640,wgEncodeEH002745,12/28/2012
CAGE,HPC-PL,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979643,wgEncodeEH002746,12/30/2012
CAGE,HPIEpC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979642,wgEncodeEH002747,12/30/2012
CAGE,HSaVEC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979645,wgEncodeEH002748,12/30/2012
CAGE,HUVEC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849327,wgEncodeEH001141,6/21/2011
CAGE,HUVEC,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849324,wgEncodeEH001142,6/21/2011
CAGE,HUVEC,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/14/2010
CAGE,HUVEC,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000342,10/13/2010
CAGE,HUVEC,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849350,wgEncodeEH000342,11/10/2012
CAGE,HUVEC,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001143,6/21/2011
CAGE,HUVEC,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM979644,wgEncodeEH002749,12/28/2012
CAGE,HVMF,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979660,wgEncodeEH002750,12/30/2012
CAGE,HWP,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979661,wgEncodeEH002751,12/30/2012
CAGE,HeLa-S3,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001146,6/21/2011
CAGE,HeLa-S3,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849330,wgEncodeEH001144,6/21/2011
CAGE,HeLa-S3,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001155,7/29/2011
CAGE,HeLa-S3,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849360,wgEncodeEH001155,11/10/2012
CAGE,HeLa-S3,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,GSM849363,wgEncodeEH001156,7/29/2011
CAGE,HeLa-S3,Localization=nucleolus RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849363,wgEncodeEH001156,11/10/2012
CAGE,HeLa-S3,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849331,wgEncodeEH001145,6/21/2011
CAGE,HeLa-S3,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM979631,wgEncodeEH002775,12/31/2012
CAGE,HepG2,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849335,wgEncodeEH001149,4/12/2012
CAGE,HepG2,Localization=cell RnaExtract=Long PolyA+ RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849335,wgEncodeEH001149,9/9/2012
CAGE,HepG2,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849343,wgEncodeEH001147,6/21/2011
CAGE,HepG2,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,HepG2,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM849351,wgEncodeEH000343,10/13/2010
CAGE,HepG2,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849351,wgEncodeEH000343,11/10/2012
CAGE,HepG2,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,HepG2,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000344,10/13/2010
CAGE,HepG2,Localization=nucleolus RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849344,wgEncodeEH000344,9/9/2012
CAGE,HepG2,Localization=nucleolus RnaExtract=Total RNA Version=V3,none,RIKEN,Carninci,hg19,released,GSM849344,wgEncodeEH000344,11/10/2012
CAGE,HepG2,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001148,6/21/2011
CAGE,HepG2,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,HepG2,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000345,10/13/2010
CAGE,HepG2,Localization=nucleus RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849345,wgEncodeEH000345,11/10/2012
CAGE,IMR90,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979656,wgEncodeEH002754,12/30/2012
CAGE,IMR90,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979658,wgEncodeEH002752,12/30/2012
CAGE,IMR90,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979659,wgEncodeEH002753,12/30/2012
CAGE,K562,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849365,wgEncodeEH001150,6/21/2011
CAGE,K562,Localization=chromatin RnaExtract=Total RNA,none,RIKEN,Carninci,hg18,released,,,11/19/2009
CAGE,K562,Localization=chromatin RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000334,11/19/2009
CAGE,K562,Localization=chromatin RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849333,wgEncodeEH000334,9/9/2012
CAGE,K562,Localization=chromatin RnaExtract=Total RNA Version=V3,none,RIKEN,Carninci,hg19,released,GSM849333,wgEncodeEH000334,11/10/2012
CAGE,K562,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg18,released,,,11/4/2009
CAGE,K562,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849339,wgEncodeEH000332,11/4/2009
CAGE,K562,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,9/9/2009
CAGE,K562,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000329,9/9/2009
CAGE,K562,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849353,wgEncodeEH000329,11/10/2012
CAGE,K562,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg18,released,,,11/19/2009
CAGE,K562,Localization=nucleolus RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,GSM849332,wgEncodeEH000335,4/12/2012
CAGE,K562,Localization=nucleolus RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849332,wgEncodeEH000335,9/9/2012
CAGE,K562,Localization=nucleolus RnaExtract=Total RNA Version=V3,none,RIKEN,Carninci,hg19,released,GSM849332,wgEncodeEH000335,11/10/2012
CAGE,K562,Localization=nucleoplasm RnaExtract=Total RNA,none,RIKEN,Carninci,hg18,released,,,11/19/2009
CAGE,K562,Localization=nucleoplasm RnaExtract=Total RNA,none,RIKEN,Carninci,hg19,released,GSM849340,wgEncodeEH000336,11/19/2009
CAGE,K562,Localization=nucleoplasm RnaExtract=Total RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849340,wgEncodeEH000336,9/9/2012
CAGE,K562,Localization=nucleoplasm RnaExtract=Total RNA Version=V3,none,RIKEN,Carninci,hg19,released,GSM849340,wgEncodeEH000336,11/10/2012
CAGE,K562,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg18,released,,,11/4/2009
CAGE,K562,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000333,6/21/2011
CAGE,K562,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,9/9/2009
CAGE,K562,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM849337,wgEncodeEH000330,9/9/2009
CAGE,K562,Localization=nucleus RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849337,wgEncodeEH000330,11/10/2012
CAGE,K562,Localization=polysome RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,11/19/2009
CAGE,K562,Localization=polysome RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,GSM849354,wgEncodeEH000337,11/19/2009
CAGE,K562,Localization=polysome RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849354,wgEncodeEH000337,11/10/2012
CAGE,MCF-7,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849364,wgEncodeEH001151,6/21/2011
CAGE,MCF-7,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH002755,12/30/2012
CAGE,MCF-7,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979654,wgEncodeEH002756,12/30/2012
CAGE,Monocytes-CD14+,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979655,wgEncodeEH002757,12/30/2012
CAGE,NHDF,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979662,wgEncodeEH002758,12/30/2012
CAGE,NHEK,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849367,wgEncodeEH001152,11/10/2012
CAGE,NHEK,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849366,wgEncodeEH001153,4/12/2012
CAGE,NHEK,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,NHEK,Localization=cytosol RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000346,10/13/2010
CAGE,NHEK,Localization=cytosol RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849346,wgEncodeEH000346,11/10/2012
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH001154,6/21/2011
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA+ RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849361,wgEncodeEH001154,9/9/2012
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA+ RNA Version=V3,none,RIKEN,Carninci,hg19,released,GSM849361,wgEncodeEH001154,4/24/2013
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,10/13/2010
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000347,10/13/2010
CAGE,NHEK,Localization=nucleus RnaExtract=Long PolyA- RNA Version=V2,none,RIKEN,Carninci,hg19,released,GSM849347,wgEncodeEH000347,11/10/2012
CAGE,NHEM.f_M2,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979663,wgEncodeEH002759,12/28/2012
CAGE,NHEM_M2,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979649,wgEncodeEH002760,12/30/2012
CAGE,SK-N-SH,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979646,wgEncodeEH002763,12/30/2012
CAGE,SK-N-SH,Localization=cytosol RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979648,wgEncodeEH002761,12/30/2012
CAGE,SK-N-SH,Localization=nucleus RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979647,wgEncodeEH002762,12/30/2012
CAGE,SK-N-SH_RA,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM849362,wgEncodeEH001157,10/19/2011
CAGE,SkMC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979653,wgEncodeEH002764,12/30/2012
CAGE,hMSC-AT,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH002765,12/30/2012
CAGE,hMSC-BM,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH002766,12/30/2012
CAGE,hMSC-UC,Localization=cell RnaExtract=Long PolyA+ RNA,none,RIKEN,Carninci,hg19,released,GSM979650,wgEncodeEH002767,12/30/2012
CAGE,prostate,Localization=cell RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg18,released,,,9/9/2009
CAGE,prostate,Localization=cell RnaExtract=Long PolyA- RNA,none,RIKEN,Carninci,hg19,released,,wgEncodeEH000331,9/9/2009
ChIA-PET,HCT-116,Antibody=Pol2,none,GIS-Ruan,Ruan,hg19,released,GSM970210,wgEncodeEH001427,4/23/2012
ChIA-PET,HeLa-S3,Antibody=Pol2,none,GIS-Ruan,Ruan,hg19,released,GSM970211,wgEncodeEH001426,4/23/2012
ChIA-PET,K562,Antibody=CTCF,none,GIS-Ruan,Ruan,hg19,released,GSM970216,wgEncodeEH002075,3/8/2012
ChIA-PET,K562,Antibody=Pol2,none,GIS-Ruan,Ruan,hg19,released,GSM970213,wgEncodeEH001428,11/4/2011
ChIA-PET,MCF-7,Antibody=CTCF,none,GIS-Ruan,Ruan,hg19,released,GSM970215,wgEncodeEH002076,3/8/2012
ChIA-PET,MCF-7,Antibody=ERalpha_a,none,GIS-Ruan,Ruan,hg19,released,GSM970212,wgEncodeEH001429,4/21/2012
ChIA-PET,MCF-7,Antibody=Pol2,none,GIS-Ruan,Ruan,hg19,released,GSM970209,wgEncodeEH001430,10/20/2011
ChIA-PET,NB4,Antibody=Pol2,none,GIS-Ruan,Ruan,hg19,released,GSM970214,wgEncodeEH001431,10/20/2011
ChIP-seq,A549,Antibody=ATF3 Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010789,wgEncodeEH002288,5/16/2012
ChIP-seq,A549,Antibody=BCL3 Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010775,wgEncodeEH002303,6/12/2012
ChIP-seq,A549,Antibody=BHLHE40 Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH002817,11/3/2012
ChIP-seq,A549,Antibody=CEBPB Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM935630,wgEncodeEH002818,11/3/2012
ChIP-seq,A549,Antibody=CEBPB_(SC-150) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010871,wgEncodeEH003271,4/29/2013
ChIP-seq,A549,Antibody=CREB1_(SC-240) Protocol=PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010720,wgEncodeEH002322,6/30/2012
ChIP-seq,A549,Antibody=CREB1_(SC-240) Protocol=sonicator PCR 1-round,DEX_100nM,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002323,6/30/2012
ChIP-seq,A549,Antibody=CREB1_(SC-240) Protocol=sonicator PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010726,wgEncodeEH002324,6/30/2012
ChIP-seq,A549,Antibody=CTCF,DEX_100nM,Broad,Bernstein,hg19,released,GSM1003582,wgEncodeEH003114,4/25/2013
ChIP-seq,A549,Antibody=CTCF,EtOH_0.02pct,Broad,Bernstein,hg19,released,GSM1003581,wgEncodeEH003115,4/25/2013
ChIP-seq,A549,Antibody=CTCF,none,UT-A,Iyer,hg19,released,GSM822289,wgEncodeEH002078,6/29/2012
ChIP-seq,A549,Antibody=CTCF,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH001890,3/24/2012
ChIP-seq,A549,Antibody=CTCF_(SC-15914) Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH003384,5/1/2013
ChIP-seq,A549,Antibody=CTCF_(SC-5916) Protocol=PCR 1-round,DEX_100nM,HudsonAlpha,Myers,hg18,released,,,10/6/2010
ChIP-seq,A549,Antibody=CTCF_(SC-5916) Protocol=PCR 1-round,DEX_100nM,HudsonAlpha,Myers,hg19,released,GSM803453,wgEncodeEH001507,10/6/2010
ChIP-seq,A549,Antibody=CTCF_(SC-5916) Protocol=PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg18,released,,,10/12/2010
ChIP-seq,A549,Antibody=CTCF_(SC-5916) Protocol=PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM803456,wgEncodeEH001508,8/28/2011
ChIP-seq,A549,Antibody=Control,DEX_100nM,Broad,Bernstein,hg19,released,,wgEncodeEH003075,12/15/2012
ChIP-seq,A549,Antibody=Control,EtOH_0.02pct,Broad,Bernstein,hg19,released,GSM1003541,wgEncodeEH003076,12/15/2012
ChIP-seq,A549,Antibody=E2F6 Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010766,wgEncodeEH003244,4/20/2013
ChIP-seq,A549,Antibody=ELF1_(SC-631) Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010790,wgEncodeEH002289,5/16/2012
ChIP-seq,A549,Antibody=ETS1 Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010829,wgEncodeEH002290,5/16/2012
ChIP-seq,A549,Antibody=FOSL2 Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010748,wgEncodeEH002310,6/23/2012
ChIP-seq,A549,Antibody=FOXA1_(SC-101058) Protocol=sonicator PCR 1-round,DEX_100nM,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002293,5/30/2012
ChIP-seq,A549,Antibody=FOXA1_(SC-101058) Protocol=sonicator PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010725,wgEncodeEH002325,6/30/2012
ChIP-seq,A549,Antibody=FOXA2_(SC-6554) Protocol=sonicator PCR 1-round,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010724,wgEncodeEH002326,6/30/2012
ChIP-seq,A549,Antibody=GABP Protocol=ChIP AMpure XP,EtOH_0.02pct,HudsonAlpha,Myers,hg19,released,GSM1010833,wgEncodeEH002294,5/30/2012
ChIP-seq,A549,Antibody=GATA3_(SC-268) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010727,wgEncodeEH003250,4/24/2013
ChIP-seq,A549,Antibody=GR Protocol=PCR 1-round,DEX_500pM,HudsonAlpha,Myers,hg18,released,,,9/9/2010
ChIP-seq,A549,Antibody=GR Protocol=PCR 1-round,DEX_500pM,HudsonAlpha,Myers,hg19,released,GSM803357,wgEncodeEH001490,9/20/2011
ChIP-seq,A549,Antibody=GR Protocol=PCR 1-round,DEX_50nM,HudsonAlpha,Myers,hg18,released,,,9/9/2010
ChIP-seq,A549,Antibody=GR Protocol=PCR 1-round,DEX_50nM,HudsonAlpha,Myers,hg19,released,GSM803358,wgEncodeEH001491,9/1/2011
ChIP-seq,A549,Antibody=GR Protocol=PCR 1-round,DEX_5nM,HudsonAlpha,Myers,hg18,released,,,9/9/2010
